item_code,item_name,over_mean,normal_mean,ratio_over_to_normal,z_over_vs_normal,nz_days_over,nz_days_normal,max_over_value,max_normal_value,z_2026-05-06,z_2026-05-07,z_2026-05-08,z_2026-05-12,z_2026-05-13,z_2026-05-14,z_2026-05-18,z_2026-05-19,z_2026-05-20,z_2026-05-21,z_2026-05-22
219180,E딸기맛바(통합) 기본믹스,4.0,0.2,22.56,3.41,3,1,20.6,7.3,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,3.51,13.5,18.19,-0.16,-0.16
219179,E메론맛바(통합) 기본믹스,5.2,1.0,5.21,1.3,5,5,15.3,18.4,-0.31,-0.31,1.69,-0.31,-0.31,2.97,-0.31,1.69,4.38,3.81,-0.31
223579,더단백드링크 초코믹스,23.8,10.2,2.34,1.23,8,22,34.3,29.4,2.18,2.18,0.41,-0.92,2.18,2.18,-0.92,0.63,2.18,2.18,-0.92
219086,E메로나 망고(HALAL) 믹스,0.9,0.1,8.16,1.13,2,1,4.4,4.4,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,6.25,6.32,-0.16,-0.16,-0.16
220140,메론맛우유믹스(수출),19.4,3.9,5.0,1.05,3,3,64.6,67.2,4.12,-0.26,-0.26,-0.26,4.12,-0.26,-0.26,-0.26,-0.26,4.12,-0.26
219092,E메로나(AU) 믹스_호주유럽(P),8.5,2.3,3.6,1.05,6,7,26.8,26.0,2.83,1.92,-0.4,-0.4,1.53,0.94,-0.4,-0.4,0.72,4.22,-0.4
223539,밤맛우유(수출용) 믹스,4.8,0.6,7.6,1.04,1,1,47.6,25.7,-0.16,11.86,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
219181,E망고맛바(통합) 기본믹스,2.1,0.4,5.64,1.04,1,2,20.5,8.7,-0.22,12.37,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
220006,바나나맛우유믹스,62.8,30.5,2.06,1.04,9,21,83.0,83.0,1.69,0.97,0.95,1.69,1.6,0.69,-0.98,1.69,1.43,0.69,-0.98
220067,바나나병(상),327800.0,183902.4,1.78,0.99,10,27,352000.0,352000.0,1.16,1.0,1.16,0.4,0.7,1.16,1.0,1.16,1.0,1.16,-1.26
223582,믹스-쥬시쿨 에이드 금귤&감귤,1.8,0.3,7.05,0.96,1,1,18.4,10.7,-0.16,-0.16,-0.16,-0.16,-0.16,10.99,-0.16,-0.16,-0.16,-0.16,-0.16
220068,바나나병(하),352000.0,213922.0,1.65,0.87,10,27,352000.0,387200.0,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,-1.34
219190,E피스타치오맛바(P) 기본믹스,0.7,0.1,6.29,0.84,1,1,6.9,4.5,-0.16,-0.16,-0.16,-0.16,-0.16,9.78,-0.16,-0.16,-0.16,-0.16,-0.16
213137,떡붕어싸만코 믹스,5.0,2.6,1.88,0.77,9,20,7.8,8.0,-0.88,-0.16,0.37,1.25,1.32,1.72,0.0,1.55,1.22,1.33,-0.88
219148,쿠앤크 말차 기본믹스,1.1,0.2,5.56,0.72,1,1,10.8,8.0,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,8.63,-0.16,-0.16,-0.16,-0.16
260015,농축유,6174.6,3122.8,1.98,0.66,7,13,10098.0,12641.5,1.51,1.51,1.15,-0.68,-0.68,-0.68,1.23,1.2,1.21,0.83,-0.68
210417,C투대 클래식 기본믹스,5.5,2.8,1.97,0.66,7,13,9.0,9.8,1.51,1.51,1.15,-0.68,-0.68,-0.68,1.23,1.21,1.21,0.83,-0.68
223573,믹스-빙그레 제로 아이스티 복숭아,1.3,0.4,2.85,0.61,3,4,4.5,5.0,-0.33,2.59,-0.33,-0.33,-0.33,2.81,-0.33,-0.33,-0.33,2.95,-0.33
220032,욥닥터병,165953.0,111411.7,1.49,0.61,10,27,219680.0,252310.0,1.15,0.81,-0.64,0.79,0.67,0.41,-0.19,1.22,1.04,0.87,-1.25
220143,닥터바이오 펙틴(사과),6.5,4.1,1.58,0.57,7,22,10.0,10.0,1.4,-0.97,1.4,-0.97,1.4,1.4,0.21,1.4,1.4,-0.97,-0.97
220144,닥터바이오 믹스(사과),16.2,10.3,1.58,0.57,7,22,25.0,25.0,1.4,-0.97,1.4,-0.97,1.4,1.4,0.21,1.4,1.4,-0.97,-0.97
223526,바이오 믹스 (포도),3.4,1.5,2.2,0.53,4,7,8.5,12.5,-0.45,2.01,-0.45,2.01,-0.45,-0.45,2.01,-0.45,-0.45,2.01,-0.45
223527,바이오 펙틴(포도),1.4,0.6,2.2,0.53,4,7,3.4,5.0,-0.45,2.01,-0.45,2.01,-0.45,-0.45,2.01,-0.45,-0.45,2.01,-0.45
220022,쥬시쿨FINAL믹스,9.7,5.6,1.71,0.52,4,16,29.0,25.0,-0.74,3.06,-0.74,-0.74,-0.74,2.53,1.22,-0.74,-0.74,2.86,-0.74
220133,딸기맛우유믹스(수출),25.8,12.5,2.06,0.5,3,8,129.0,81.4,-0.47,-0.47,1.94,-0.47,-0.47,4.4,-0.47,-0.47,-0.47,2.0,-0.47
223584,더단백드링크 민트초코 믹스,3.4,1.1,3.19,0.49,1,2,34.3,24.5,-0.22,-0.22,-0.22,6.95,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
220114,쥬시쿨복숭아믹스,5.2,3.0,1.73,0.44,4,11,17.0,12.7,-0.6,2.0,-0.6,-0.6,-0.6,1.8,1.46,-0.6,-0.6,2.8,-0.6
223351,오늘의커피 카페라떼,6.1,2.9,2.08,0.43,3,6,21.1,24.1,-0.4,2.34,-0.4,2.49,-0.4,-0.4,-0.4,2.34,-0.4,-0.4,-0.4
223540,퇴근커피 카라멜라떼 믹스,7.6,3.5,2.21,0.38,3,4,25.7,45.1,1.98,-0.32,-0.32,-0.32,2.02,-0.32,-0.32,-0.32,2.03,-0.32,-0.32
219146,E메로나 우베맛바_호주유럽(P) 믹스,2.2,1.2,1.84,0.34,2,6,16.1,10.4,-0.4,1.55,-0.4,-0.4,-0.4,5.06,-0.4,-0.4,-0.4,-0.4,-0.4
223562,오늘의커피 연유라떼 믹스,2.1,0.9,2.33,0.3,1,2,21.5,22.8,-0.22,-0.22,-0.22,-0.22,4.95,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
223585,포비 광화문라떼 믹스,2.8,1.3,2.12,0.3,2,3,15.0,26.1,-0.27,-0.27,-0.27,2.76,-0.27,-0.27,-0.27,-0.27,-0.27,2.36,-0.27
210405,V메로나믹스,1.2,0.6,1.93,0.3,1,4,12.1,7.3,-0.33,-0.33,-0.33,-0.33,5.99,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33
223524,메로나맛우유믹스,8.4,5.7,1.48,0.29,4,11,24.9,24.8,-0.6,1.88,-0.6,-0.6,-0.6,0.97,1.61,-0.6,-0.6,2.03,-0.6
220171,바나나맛우유믹스(미국),16.0,9.3,1.71,0.28,3,6,64.9,81.3,-0.39,-0.39,-0.39,2.34,0.89,-0.39,-0.39,2.31,-0.39,-0.39,-0.39
223574,믹스-빙그레 제로 아이스티 샤인머스캣,0.8,0.4,1.78,0.26,2,4,4.0,5.0,-0.33,-0.33,-0.33,-0.33,-0.33,2.59,-0.33,-0.33,-0.33,2.6,-0.33
210304,참붕어싸만코(수출용)믹스,1.4,1.0,1.42,0.23,3,11,6.7,6.8,3.08,1.47,-0.55,-0.55,-0.55,-0.55,1.6,-0.55,-0.55,-0.55,-0.55
220051,바나나맛우유믹스(수출용),35.1,25.2,1.39,0.21,5,10,81.2,148.0,1.18,0.81,1.18,0.85,-0.53,-0.53,-0.53,-0.53,0.71,-0.53,-0.53
219184,E딸기맛바 호주유럽(P) 믹스,1.5,0.9,1.59,0.2,1,5,14.6,12.4,-0.35,-0.35,-0.35,-0.35,5.18,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
220008,참맛초코믹스,5.7,4.4,1.31,0.18,4,11,19.9,20.3,-0.59,-0.59,2.11,0.83,-0.59,-0.59,-0.59,1.44,0.97,-0.59,-0.59
210014,쿠앤크바믹스,0.5,0.3,1.74,0.16,1,2,4.8,7.3,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,3.56,-0.22,-0.22
223561,맛점커피 바나나라떼 믹스,3.0,1.7,1.72,0.16,2,2,15.0,45.5,1.66,-0.22,-0.22,-0.22,-0.22,1.66,-0.22,-0.22,-0.22,-0.22,-0.22
223549,990초코믹스,5.6,4.4,1.26,0.15,3,11,21.5,21.1,-0.59,-0.59,2.31,1.7,-0.59,-0.59,-0.59,1.7,-0.59,-0.59,-0.59
223102,닥터바이오펙틴(플레인),1.5,1.2,1.23,0.13,3,10,5.0,5.0,-0.57,1.76,-0.57,1.76,-0.57,-0.57,-0.57,-0.57,-0.57,1.76,-0.57
223103,닥터바이오 믹스(플레인),3.8,3.1,1.23,0.13,3,10,12.5,12.6,-0.57,1.76,-0.57,1.76,-0.57,-0.57,-0.57,-0.57,-0.57,1.76,-0.57
223352,오늘의커피 바닐라라떼,4.2,3.7,1.13,0.06,2,8,22.1,24.1,-0.48,-0.48,2.36,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,2.09,-0.48
223522,타로맛우유(수출용) 믹스,3.3,2.6,1.27,0.05,2,2,20.3,81.6,-0.2,0.76,-0.2,-0.2,1.36,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
223541,출근커피 바닐라라떼 믹스,4.1,4.0,1.01,0.01,2,6,25.6,45.2,-0.37,-0.37,1.01,-0.37,-0.37,-0.37,-0.37,-0.37,1.98,-0.37,-0.37
223518,춘식이커피 믹스,3.0,3.0,0.99,-0.0,3,11,10.5,17.8,-0.58,-0.58,1.28,1.43,-0.58,-0.58,-0.58,1.31,-0.58,-0.58,-0.58
260353,메로나병(상),17600.0,18243.9,0.96,-0.02,2,8,110000.0,110000.0,-0.48,-0.48,-0.48,2.4,1.25,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48
219114,E망고맛바_호주유럽(P) 기본믹스,2.2,2.4,0.91,-0.04,1,9,21.6,17.3,3.99,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49
219096,딸기맛바(N)_미국 코스트코(반제품),1178.7,1311.3,0.9,-0.06,2,11,5897.0,7029.2,-0.57,-0.57,-0.57,1.99,1.99,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
219081,메론맛바_미국 코스트코(반제품),1168.6,1315.7,0.89,-0.06,2,11,5971.0,6839.2,-0.57,-0.57,-0.57,2.02,1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
219082,망고맛바_미국 코스트코(반제품),1165.6,1315.2,0.89,-0.07,2,11,5842.0,6731.2,-0.57,-0.57,-0.57,1.96,1.97,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
223354,바닐라맛우유믹스(수출용T/P),2.4,3.4,0.7,-0.09,1,4,23.7,65.9,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,1.73,-0.29,-0.29,-0.29,-0.29
213419,E메로나 우베믹스,0.0,0.1,0.0,-0.16,0,1,0.0,5.2,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
219215,E커피맛바 기본믹스,0.0,0.2,0.0,-0.16,0,1,0.0,9.3,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
210112,바나나바믹스,0.0,0.4,0.0,-0.22,0,2,0.0,8.4,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
223583,믹스-쥬시쿨 에이드 사과,0.0,0.5,0.0,-0.22,0,2,0.0,10.4,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
223521,딸기맛우유 B-grade 믹스,0.0,1.2,0.0,-0.23,0,2,0.0,24.7,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
220170,메론병(상)중국,0.0,7512.2,0.0,-0.28,0,3,0.0,110000.0,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
219126,E코코넛맛바 호주유럽(P)_기본믹스,0.8,2.1,0.37,-0.29,1,8,7.6,18.6,1.21,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
213365,E망고맛바 미국(N) 믹스,1.5,3.4,0.44,-0.32,1,11,14.9,18.1,-0.58,-0.58,-0.58,1.98,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58
219097,E딸기맛바(N)(미국) 기본믹스,1.4,3.2,0.44,-0.32,1,11,14.1,18.8,-0.57,-0.57,-0.57,1.95,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
213364,E메론맛바 미국(N) 믹스,1.5,3.5,0.44,-0.33,1,11,15.4,18.5,-0.58,-0.58,-0.58,1.98,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58
210057,그라시아쿠키앤크림믹스,0.0,0.7,0.0,-0.33,0,4,0.0,7.7,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33
210637,E참붕어싸만코 녹차 멀티 믹스,0.0,0.5,0.0,-0.37,0,5,0.0,5.4,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
213524,메로나 피나콜라다 믹스,0.5,0.0,inf,,1,0,4.8,0.0,,,,,,,,,,,
219080,쿠앤크 티라미수 믹스(신),1.3,0.0,inf,,1,0,13.1,0.0,,,,,,,,,,,
219084,E메로나 코코넛(HALAL) 믹스,1.4,0.0,inf,,1,0,13.5,0.0,,,,,,,,,,,
220019,유산균배양액,0.3,0.0,inf,,1,0,3.0,0.0,,,,,,,,,,,
223312,딸기맛우유믹스(미국),12.5,0.0,inf,,2,0,64.1,0.0,,,,,,,,,,,
223394,커피맛우유믹스(미국),2.6,0.0,inf,,1,0,25.7,0.0,,,,,,,,,,,
223547,믹스-더단백 워터프로틴CUP 복숭아,0.3,0.0,inf,,1,0,3.0,0.0,,,,,,,,,,,
223586,포비 플랫화이트 믹스,1.3,0.0,inf,,1,0,13.0,0.0,,,,,,,,,,,
223587,,1.1,0.0,inf,,1,0,11.0,0.0,,,,,,,,,,,
