plant,target,Advanced_MAPE,analysis_rows,analysis_start,analysis_end,max_abs_mix_adjusted_corr,signal_level,recommended_feature_count,top_1,top_2,top_3
광주,연료,13.52824642853387,822,2023-01-02,2026-04-21,0.5416082945233688,Strong,4,260014 (탈지분유),260042 (유크림믹스),260016 (생크림(냉동))
김해,연료,11.18858562665054,822,2023-01-02,2026-04-21,0.5179139289660358,Strong,5,260015 (농축유),219097 (E딸기맛바(N)(미국) 기본믹스),219096 (딸기맛바(N)_미국 코스트코(반제품))
광주,용수,10.44263644716443,822,2023-01-02,2026-04-21,0.424065897914635,Strong,4,260014 (탈지분유),260042 (유크림믹스),260016 (생크림(냉동))
남양주1,용수,9.362897397171615,822,2023-01-02,2026-04-21,0.3105546010026898,Moderate,5,220129 (요플레 오리지널 믹스),220184 (시유믹스),223543 (무가당 바나나맛우유 믹스)
논산,용수,9.29087392381726,822,2023-01-02,2026-04-21,0.21103858869570954,Moderate,5,220142 (바나나맛우유믹스(중국)),219158 (요맘때바 블루베리 믹스),210198 (요맘때 발효믹스)
남양주2,용수,8.570284221249553,822,2023-01-02,2026-04-21,0.1954280303713454,Weak,5,220007 (참맛딸기믹스),223271 (요플레 그릭 마일드 믹스),220129 (요플레 오리지널 믹스)
광주,전력,8.536394477942084,822,2023-01-02,2026-04-21,0.11709634261157127,Weak,4,260014 (탈지분유),260016 (생크림(냉동)),260039 (살균유)
남양주2,연료,7.473732919697184,822,2023-01-02,2026-04-21,0.3009091044005936,Moderate,5,220007 (참맛딸기믹스),220006 (바나나맛우유믹스),223558 (요플레 오리지널 믹스 (R))
남양주1,전력,6.97877805706795,822,2023-01-02,2026-04-21,0.4782413092281567,Strong,5,210376 ((품)비비빅믹스),210405 (V메로나믹스),250071 (더위사냥 커피 믹스 B)
김해,용수,6.853031379548822,822,2023-01-02,2026-04-21,0.2730519664254921,Moderate,5,223518 (춘식이커피 믹스),210376 ((품)비비빅믹스),260015 (농축유)
김해,전력,6.437245461429021,822,2023-01-02,2026-04-21,0.42889260288168785,Strong,5,250071 (더위사냥 커피 믹스 B),210405 (V메로나믹스),210376 ((품)비비빅믹스)
남양주1,연료,6.135894930841311,822,2023-01-02,2026-04-21,0.5843603592206837,Strong,5,210376 ((품)비비빅믹스),210405 (V메로나믹스),210198 (요맘때 발효믹스)
남양주2,전력,5.997434966160991,822,2023-01-02,2026-04-21,0.2665161981338742,Moderate,5,210376 ((품)비비빅믹스),220129 (요플레 오리지널 믹스),260015 (농축유)
논산,전력,5.055460425495808,822,2023-01-02,2026-04-21,0.3886078772465094,Strong,5,220059 (빙그레딸기맛우유믹스),210376 ((품)비비빅믹스),222053 (딸기맛우유(반제품))
논산,연료,4.148382459515174,822,2023-01-02,2026-04-21,0.3487406804819915,Moderate,5,210508 (엑설런트 클래식(V)믹스R),210198 (요맘때 발효믹스),220142 (바나나맛우유믹스(중국))
